Variant,Spikes,Shifted,Stuck,Offset
naive_bins=15,100.0%,100.0%,100.0%,100.0%
sax_w=24_bins=15,100.0%,100.0%,100.0%,100.0%
sax_w=48_bins=15,100.0%,100.0%,100.0%,100.0%
sax_w=144_bins=15,100.0%,100.0%,100.0%,100.0%
persist_bins=16,93.3%,100.0%,100.0%,100.0%
