method,params,status,precision,recall,f1,TP,FP,FN,TN,n_states,n_edges,error
naive,bins=10,ok,0.656,0.244,0.356,21,11,65,49,143,239,
sax,"w=48, bins=10",ok,0.241,0.081,0.122,7,22,79,38,459,659,
persist,bins=11,ok,0.737,0.488,0.587,42,15,44,45,108,171,
