Condition,Method,F1 median,F1 range,Best variant,Worst variant
clean,naive,0.000,0.000-0.000,naive_bins=5,naive_bins=5
clean,persist,0.757,0.757-0.757,persist_bins=6,persist_bins=6
clean,sax,0.958,0.940-0.984,sax_w=24_bins=5,sax_w=144_bins=5
noisy,naive,0.899,0.899-0.899,naive_bins=5,naive_bins=5
noisy,persist,0.708,0.708-0.708,persist_bins=6,persist_bins=6
noisy,sax,0.758,0.613-0.778,sax_w=144_bins=5,sax_w=48_bins=5
