Variant,Spikes,Shifted,Stuck,Offset
naive_bins=15,100.0%,100.0%,100.0%,100.0%
sax_w=24_bins=15,100.0%,100.0%,100.0%,0.0%
sax_w=48_bins=15,100.0%,100.0%,100.0%,0.0%
sax_w=144_bins=15,100.0%,100.0%,100.0%,0.0%
persist_bins=16,100.0%,60.0%,100.0%,100.0%
