method,params,status,precision,recall,f1,TP,FP,FN,TN,n_states,n_edges,error
naive,bins=5,ok,0.899,0.995,0.944,570,64,3,108,10,14,
sax,"w=48, bins=5",ok,0.828,0.939,0.880,538,112,35,60,36,102,
persist,bins=6,ok,0.872,0.997,0.930,571,84,2,88,9,11,
