Config;E1;E2;E3;E4;E5;E6;E7;E8;A[]1;A[]2;A1;A2;A3;A4;A5;A6;A7;A8;A9;P1;P2;P3;P4;P5;P6;P7;P8;P9
A-30trace-1day-sax-s15--w24-k4;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0.63816 +/- 0.00946694;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-30trace-1day-sax-s15--w48-k4;1;0;1;1;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0.399929 +/- 0.00965027;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-40trace-1day-sax-s5--w24-k4;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0.90868 +/- 0.00569265;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-40trace-1day-sax-s5--w48-k4;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0.852397 +/- 0.00699969;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-40trace-1day-sax-s10--w24-k4;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0.678648 +/- 0.00920152;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-40trace-1day-sax-s10--w48-k4;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0.60497 +/- 0.00963392;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-40trace-1day-sax-s15--w48-k4;1;0;1;1;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0.46731 +/- 0.00982764;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-50trace-1day-sax-s5--w24-k4;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0.871391 +/- 0.00660865;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-50trace-1day-sax-s5--w48-k4;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0.850198 +/- 0.00704228;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-50trace-1day-sax-s10--w24-k4;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0.715637 +/- 0.00889006;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-50trace-1day-sax-s10--w48-k4;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0.536389 +/- 0.00982262;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-50trace-1day-sax-s15--w48-k4;1;0;1;1;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0.448815 +/- 0.00979712;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
