Condition,Method,Params,Status,Precision,Recall,F1,States,Edges
clean,naive,bins=5,ok,0.964,0.900,0.931,19,24
clean,sax,"w=24, bins=5",ok,0.968,1.000,0.984,10,10
clean,sax,"w=48, bins=5",ok,0.966,0.950,0.958,10,10
clean,sax,"w=144, bins=5",ok,0.965,0.917,0.940,23,31
clean,persist,bins=5,ok,0.907,0.650,0.757,59,90
noisy,naive,bins=5,ok,1.000,0.817,0.899,15,23
noisy,sax,"w=24, bins=5",ok,0.734,0.783,0.758,39,52
noisy,sax,"w=48, bins=5",ok,0.667,0.567,0.613,80,109
noisy,sax,"w=144, bins=5",ok,0.742,0.817,0.778,25,41
noisy,persist,bins=5,ok,0.564,0.950,0.708,50,74
