Condition,Method,Precision,Recall,F1,States,Edges
clean,naive,0.967,0.983,0.975,7,10
clean,sax,0.951,0.967,0.959,3,7
clean,persist,0.926,0.833,0.877,6,13
noisy,naive,1.000,0.917,0.957,9,17
noisy,sax,0.622,0.850,0.718,13,23
noisy,persist,0.564,0.950,0.708,27,53
