Condition,Method,Params,Status,Precision,Recall,F1,States,Edges
clean,naive,bins=10,ok,1.000,0.767,0.868,41,66
clean,sax,"w=24, bins=10",ok,1.000,0.967,0.983,42,54
clean,sax,"w=48, bins=10",ok,1.000,0.967,0.983,26,29
clean,sax,"w=144, bins=10",ok,0.982,0.900,0.939,47,67
clean,persist,bins=11,ok,0.958,0.383,0.548,166,253
noisy,naive,bins=10,ok,0.978,0.733,0.838,37,65
noisy,sax,"w=24, bins=10",ok,0.625,0.417,0.500,117,171
noisy,sax,"w=48, bins=10",ok,0.634,0.433,0.515,138,218
noisy,sax,"w=144, bins=10",ok,0.545,0.300,0.387,109,193
noisy,persist,bins=11,ok,0.541,0.550,0.545,134,224
