method,f1_at_clean,f1_at_noisy,drops_below_at,last_above
naive,0.947,n/a,0.020,0.050
sax144,0.948,n/a,0.020,0.150
sax48,1.000,n/a,stays above threshold,0.250
sax24,0.983,n/a,stays above threshold,0.250
persist,0.909,n/a,0.020,0.050
