method,params,status,precision,recall,f1,TP,FP,FN,TN,n_states,n_edges,error
naive,bins=5,ok,0.652,0.872,0.746,75,40,11,44,11,21,
sax,"w=48, bins=5",ok,0.553,0.733,0.630,63,51,23,33,38,69,
persist,bins=6,ok,0.551,0.942,0.695,81,66,5,18,15,23,
