dataset,traces,symbols,real_mean,real_std,sim_mean,sim_std,mean_error,wasserstein_dist,coverage,real_acf,sim_acf,acf_error,trajectory_mse,trend_error
train-40t-sax-s10-w48,10000,1440,23.449785704264873,2.233047738864049,22.271978565972223,1.555378177233525,1.1778071382926498,1.4201963818532541,83.39120370370371,0.9935791500499541,0.9934340079674377,0.00014514208251636962,10.075496249999995,0.11817734537873528
test-40t-sax-s10-w48,10000,1440,23.64128714470284,2.0624614152772125,22.271978565972223,1.555378177233525,1.3693085787306174,1.4628058638404386,82.5016149870801,0.9913645978038436,0.9934340079674377,0.0020694101635941875,9.687615416666665,0.0592642807505212
