dataset,traces,symbols,real_mean,real_std,sim_mean,sim_std,mean_error,wasserstein_dist,coverage,real_acf,sim_acf,acf_error,trajectory_mse,trend_error
train-10t-sax-s5-w24,10000,1440,23.449785704264873,2.233047738864049,21.475699887499996,1.4155916615296216,1.9740858167648767,2.065848203661616,50.85402637485971,0.9935791500499541,0.9950019163600098,0.0014227663100556676,13.115664305555558,0.14054232105628914
test-10t-sax-s5-w24,10000,1440,23.64128714470284,2.0624614152772125,21.475699887499996,1.4155916615296216,2.1655872572028443,2.182961486369509,45.11466408268734,0.9913645978038436,0.9950019163600098,0.0036373185561662247,16.05697347222223,0.08451904100069493
