method,params,status,precision,recall,f1,TP,FP,FN,TN,n_states,n_edges,error
naive,bins=5,ok,0.936,0.995,0.964,570,39,3,133,10,14,
sax,"w=50, bins=5",ok,0.868,0.928,0.897,532,81,41,91,37,101,
persist,bins=6,ok,0.902,0.997,0.947,571,62,2,110,9,11,
