method,params,alphabet_defined,alphabet_used,usage_rate,run_length_median,run_length_mean,run_length_max,alphabet_used_multitrace,usage_rate_multitrace
naive,bins=10,10,10,1.00,3.0,7.4,49,10,1.00
sax,"w=48, bins=10",10,10,1.00,2.0,2.5,7,10,1.00
persist,bins=10,10,10,1.00,1.0,5.1,64,10,1.00
