Variant,Spikes,Shifted,Stuck,Offset
naive_bins=5,100.0%,100.0%,100.0%,100.0%
naive_bins=10,100.0%,93.3%,100.0%,100.0%
sax_w=24_bins=5,86.7%,100.0%,100.0%,0.0%
sax_w=48_bins=5,86.7%,100.0%,100.0%,0.0%
sax_w=144_bins=5,100.0%,93.3%,93.3%,0.0%
sax_w=24_bins=10,100.0%,100.0%,100.0%,0.0%
sax_w=48_bins=10,100.0%,100.0%,100.0%,0.0%
sax_w=144_bins=10,100.0%,100.0%,100.0%,0.0%
persist_bins=6,20.0%,86.7%,0.0%,0.0%
persist_bins=11,100.0%,86.7%,26.7%,0.0%
