time_seconds;temperature
0;25.44000
300;25.46000
600;25.49000
900;25.37000
1200;25.39000
1500;25.25000
1800;25.46000
2100;25.35000
2400;25.35000
2700;25.25000
3000;25.25000
3300;25.28000
3600;25.28000
3900;25.30000
4200;25.14000
4500;25.18000
4800;25.30000
5100;25.23000
5400;25.28000
5700;25.16000
6000;25.18000
6300;25.14000
6600;25.14000
6900;25.21000
7200;25.09000
7800;25.11000
8100;25.04000
8400;25.04000
8700;24.97000
9000;24.97000
9300;24.84000
9600;24.88000
9900;24.95000
10200;24.88000
10500;24.88000
10800;24.86000
11100;24.86000
11400;24.68000
11700;24.84000
12000;24.79000
12300;24.84000
12600;24.79000
12900;24.75000
13200;24.72000
13500;24.68000
13800;24.61000
14100;24.77000
14400;24.84000
14700;24.70000
15000;24.68000
15300;24.91000
15600;24.61000
15900;24.63000
16200;24.68000
16500;24.68000
16800;24.47000
17100;24.72000
17400;24.66000
17700;24.72000
18000;24.63000
18300;24.63000
18600;24.66000
18900;24.56000
19200;24.66000
19500;24.70000
19800;24.56000
20100;24.66000
20400;24.77000
20700;24.63000
21000;24.66000
21300;24.63000
21600;24.63000
21900;24.66000
22200;24.61000
22500;24.68000
22800;24.68000
23100;24.75000
23400;24.84000
23700;24.84000
24000;24.72000
24300;24.75000
24600;24.95000
24900;24.84000
25200;24.77000
25500;24.70000
25800;24.91000
26100;24.84000
26400;24.81000
26700;24.79000
27000;24.86000
27300;24.75000
27600;24.75000
27900;24.84000
28200;24.84000
28500;24.91000
28800;24.81000
29100;24.66000
29400;24.77000
29700;24.81000
30000;24.61000
30300;24.36000
30600;24.27000
30900;24.22000
31200;24.27000
31500;24.08000
31800;24.03000
32100;23.91000
32400;23.80000
32700;23.38000
33000;23.20000
33300;23.25000
33600;23.32000
33900;23.27000
34200;23.29000
34500;23.32000
34800;23.18000
35100;23.27000
35400;23.32000
35700;23.32000
36000;23.32000
36300;23.27000
36600;23.43000
36900;23.50000
37200;23.48000
37500;23.68000
37800;23.66000
38100;23.57000
38400;23.68000
38700;23.91000
39000;24.50000
39300;24.63000
39600;24.56000
39900;24.68000
40200;25.02000
40500;24.79000
40800;24.13000
41100;23.96000
41400;24.20000
41700;23.98000
42000;23.94000
42300;23.98000
42600;24.08000
42900;23.98000
43200;24.03000
43500;23.96000
43800;24.01000
44100;23.91000
44400;24.41000
44700;24.81000
45000;24.91000
45300;24.93000
45600;24.36000
45900;24.27000
46200;24.20000
46500;24.32000
46800;24.41000
47100;24.52000
47400;24.63000
47700;24.77000
48000;24.70000
48300;24.77000
48600;24.81000
48900;24.86000
49200;24.86000
49500;24.91000
49800;24.79000
50100;24.86000
50400;24.91000
50700;24.97000
51000;24.95000
51300;25.23000
51600;25.00000
51900;24.93000
52200;25.00000
52500;24.97000
52800;24.97000
53100;25.11000
53400;25.00000
53700;25.25000
54000;25.16000
54300;24.97000
54600;25.07000
54900;25.56000
55200;25.91000
55500;26.10000
55800;26.12000
56100;26.23000
56400;26.35000
56700;27.20000
57000;26.30000
57300;26.32000
57900;26.14000
58200;26.17000
58500;26.23000
58800;26.26000
59100;26.37000
59400;26.46000
59700;26.51000
60000;26.44000
60300;26.46000
60600;26.57000
60900;26.46000
61200;26.64000
61500;26.53000
61800;26.69000
62100;26.80000
62400;26.78000
62700;26.80000
63000;26.78000
63300;26.51000
63600;26.08000
63900;25.82000
64200;25.77000
64500;26.62000
64800;26.87000
65100;27.13000
65400;27.25000
65700;27.11000
66000;27.15000
66300;27.18000
66600;27.06000
66900;27.08000
67200;27.01000
67500;27.06000
67800;27.20000
68100;27.77000
68400;27.84000
68700;27.95000
69000;28.09000
69300;27.86000
69600;27.74000
69900;27.70000
70200;27.81000
70500;27.81000
70800;27.77000
71100;27.88000
71400;27.59000
71700;27.49000
72000;27.36000
72300;27.25000
72600;27.18000
72900;27.13000
73200;26.83000
73500;26.57000
73800;26.42000
74100;26.35000
74400;26.26000
74700;26.14000
75000;26.14000
75300;26.14000
75600;25.63000
75900;25.39000
76200;25.39000
76500;25.44000
76800;25.35000
77100;25.37000
77400;24.93000
77700;24.66000
78000;25.28000
78300;25.21000
78600;25.32000
78900;25.09000
79200;25.21000
79500;25.11000
79800;25.16000
80100;25.04000
80400;25.04000
80700;25.14000
81000;24.93000
81300;25.09000
81600;25.07000
81900;24.97000
82200;25.07000
82500;24.95000
82800;25.56000
83100;25.96000
83400;25.93000
83700;26.03000
84000;25.96000
84300;25.89000
84600;25.98000
84900;25.86000
85200;25.91000
85500;25.91000
85800;25.91000
86100;25.72000
