dataset,traces,symbols,real_mean,real_std,sim_mean,sim_std,mean_error,ks_stat,ks_pvalue,coverage,real_acf,sim_acf,acf_error,trajectory_mse,trend_error
train-10t-naiv-s10,10000,1440,23.449785704264873,2.233047738864049,25.310100414583335,2.877382240324143,1.8603147103184625,0.44311428451178453,0.0,71.88026094276094,0.9935791500499541,0.9924686616176812,0.0011104884322729047,18.386565138888894,0.18724169562195983
test-10t-naiv-s10,10000,1440,23.64128714470284,2.0624614152772125,25.310100414583335,2.877382240324143,1.668813269880495,0.437712642118863,0.0,79.58656330749353,0.9913645978038436,0.9924686616176812,0.0011040638138376524,7.443581805555557,0.13220771369006257
