method,params,status,precision,recall,f1,TP,FP,FN,TN,n_states,n_edges,error
naive,bins=10,ok,0.691,0.651,0.671,56,25,30,59,34,65,
sax,"w=48, bins=10",ok,0.400,0.326,0.359,28,42,58,42,92,195,
persist,bins=11,ok,0.632,0.698,0.663,60,35,26,49,32,70,
