method,params,alphabet_defined,alphabet_used,usage_rate,run_length_median,run_length_mean,run_length_max,alphabet_used_multitrace,usage_rate_multitrace
naive,bins=5,5,5,1.00,12.0,19.2,81,5,1.00
sax,"w=48, bins=5",5,5,1.00,3.0,5.3,15,5,1.00
persist,bins=5,5,5,1.00,2.0,9.9,183,5,1.00
