run_id,NR_POS,NR_NEG,TP,FP,TN,FN,precision,recall,f1,PAR,NAR,FP_indices
1day-A-2trace-s6-k6,63,30,0,0,30,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-3trace-s6-k6,63,30,0,0,30,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-4trace-s6-k6,63,30,0,0,30,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,63,63,0,0,63,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,63,63,0,0,63,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,63,63,0,0,63,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,63,63,0,0,63,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,63,63,0,0,63,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,63,63,0,0,63,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,63,63,0,0,63,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,63,63,0,0,63,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,63,63,0,0,63,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,63,63,0,0,63,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,63,63,0,0,63,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,63,63,0,0,63,63,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,86,1,0,0,1,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k6,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s5-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s5-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-2trace-s5-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-3trace-s5-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-4trace-s5-k4,86,86,1,0,86,85,1.0000,0.0116,0.0230,1.1628,0.0000,[]
1day-A-5trace-s5-k4,86,86,1,0,86,85,1.0000,0.0116,0.0230,1.1628,0.0000,[]
1day-A-6trace-s5-k4,86,86,1,0,86,85,1.0000,0.0116,0.0230,1.1628,0.0000,[]
1day-A-7trace-s5-k4,86,86,1,0,86,85,1.0000,0.0116,0.0230,1.1628,0.0000,[]
1day-A-8trace-s5-k4,86,86,1,0,86,85,1.0000,0.0116,0.0230,1.1628,0.0000,[]
1day-A-9trace-s5-k4,86,86,1,0,86,85,1.0000,0.0116,0.0230,1.1628,0.0000,[]
1day-A-10trace-s5-k4,86,86,1,0,86,85,1.0000,0.0116,0.0230,1.1628,0.0000,[]
1day-A-11trace-s5-k4,86,86,1,0,86,85,1.0000,0.0116,0.0230,1.1628,0.0000,[]
1day-A-12trace-s5-k4,86,86,14,0,86,72,1.0000,0.1628,0.2800,16.2791,0.0000,[]
1day-A-13trace-s5-k4,86,86,25,0,86,61,1.0000,0.2907,0.4505,29.0698,0.0000,[]
1day-A-14trace-s5-k4,86,86,40,0,86,46,1.0000,0.4651,0.6349,46.5116,0.0000,[]
1day-A-15trace-s5-k4,86,86,42,0,86,44,1.0000,0.4884,0.6562,48.8372,0.0000,[]
1day-A-16trace-s5-k4,86,86,24,0,86,62,1.0000,0.2791,0.4364,27.9070,0.0000,[]
1day-A-17trace-s5-k4,86,86,19,0,86,67,1.0000,0.2209,0.3619,22.0930,0.0000,[]
1day-A-18trace-s5-k4,86,86,19,0,86,67,1.0000,0.2209,0.3619,22.0930,0.0000,[]
1day-A-19trace-s5-k4,86,86,30,0,86,56,1.0000,0.3488,0.5172,34.8837,0.0000,[]
1day-A-20trace-s5-k4,86,86,19,0,86,67,1.0000,0.2209,0.3619,22.0930,0.0000,[]
1day-A-21trace-s5-k4,86,86,24,0,86,62,1.0000,0.2791,0.4364,27.9070,0.0000,[]
1day-A-22trace-s5-k4,86,86,29,0,86,57,1.0000,0.3372,0.5043,33.7209,0.0000,[]
1day-A-1trace-s25-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s25-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s25-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s25-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
