timestamp,dataset,method,params,trace_count,repeat,tag_k,disc_time,learn_time,total_time,actual_bins,n_states,n_edges,n_inconsistencies
2026-05-15T00:40:14.682481,clean,naive,{'bins': 5},1,0,4,0.0005043670535087585,0.002012358047068119,0.002778436057269573,5,11,11,0
2026-05-15T00:40:14.687665,clean,naive,{'bins': 5},1,1,4,0.00031175557523965836,0.0018682368099689484,0.0023829136043787003,5,11,11,0
2026-05-15T00:40:14.691131,clean,naive,{'bins': 5},1,2,4,0.00029688701033592224,0.0018411064520478249,0.0023330189287662506,5,11,11,0
2026-05-15T00:40:14.694402,clean,naive,{'bins': 5},1,3,4,0.0002990812063217163,0.0018240446224808693,0.0023178216069936752,5,11,11,0
2026-05-15T00:40:14.697575,clean,naive,{'bins': 5},1,4,4,0.00029341038316488266,0.00181680079549551,0.0023060590028762817,5,11,11,0
2026-05-15T00:40:14.709644,clean,naive,{'bins': 5},2,0,4,0.0005260277539491653,0.00960148498415947,0.01042496133595705,5,25,26,0
2026-05-15T00:40:14.720782,clean,naive,{'bins': 5},2,1,4,0.0005352552980184555,0.009329705499112606,0.010166887193918228,5,25,26,0
2026-05-15T00:40:14.731939,clean,naive,{'bins': 5},2,2,4,0.000522250309586525,0.009321468882262707,0.010143742896616459,5,25,26,0
2026-05-15T00:40:14.743194,clean,naive,{'bins': 5},2,3,4,0.000516439788043499,0.009410756640136242,0.010229463689029217,5,25,26,0
2026-05-15T00:40:14.754390,clean,naive,{'bins': 5},2,4,4,0.0005156481638550758,0.009275773540139198,0.01010118331760168,5,25,26,0
2026-05-15T00:40:14.775256,clean,naive,{'bins': 5},3,0,4,0.0007390175014734268,0.012518150731921196,0.013788726180791855,5,29,31,0
2026-05-15T00:40:14.790181,clean,naive,{'bins': 5},3,1,4,0.0007504783570766449,0.012483364902436733,0.013636649586260319,5,29,31,0
2026-05-15T00:40:14.805196,clean,naive,{'bins': 5},3,2,4,0.000734599307179451,0.012523159384727478,0.01366462279111147,5,29,31,0
2026-05-15T00:40:14.819978,clean,naive,{'bins': 5},3,3,4,0.000741240568459034,0.012409967370331287,0.013573571108281612,5,29,31,0
2026-05-15T00:40:14.834982,clean,naive,{'bins': 5},3,4,4,0.00073980912566185,0.01259495597332716,0.01374319102615118,5,29,31,0
2026-05-15T00:40:14.867555,clean,naive,{'bins': 5},4,0,4,0.0009589511901140213,0.028841045685112476,0.030321745201945305,5,31,36,0
2026-05-15T00:40:14.900948,clean,naive,{'bins': 5},4,1,4,0.0009653214365243912,0.03028677962720394,0.031765906140208244,5,31,36,0
2026-05-15T00:40:14.934775,clean,naive,{'bins': 5},4,2,4,0.0014941450208425522,0.02959081158041954,0.03168514370918274,5,31,36,0
2026-05-15T00:40:14.966874,clean,naive,{'bins': 5},4,3,4,0.0009747399017214775,0.028712373226881027,0.030212909914553165,5,31,36,0
2026-05-15T00:40:14.999129,clean,naive,{'bins': 5},4,4,4,0.000966324470937252,0.0289383577182889,0.030432402156293392,5,31,36,0
2026-05-15T00:40:15.049744,clean,naive,{'bins': 5},5,0,4,0.0011837417259812355,0.04586110636591911,0.04768841713666916,5,28,34,0
2026-05-15T00:40:15.098954,clean,naive,{'bins': 5},5,1,4,0.0012179668992757797,0.04545491561293602,0.047293296083807945,5,28,34,0
2026-05-15T00:40:15.148040,clean,naive,{'bins': 5},5,2,4,0.0011860867962241173,0.04541897680610418,0.04723264183849096,5,28,34,0
2026-05-15T00:40:15.196655,clean,naive,{'bins': 5},5,3,4,0.0011806171387434006,0.04493744298815727,0.04675615765154362,5,28,34,0
2026-05-15T00:40:15.245664,clean,naive,{'bins': 5},5,4,4,0.0012029586359858513,0.045317537151277065,0.04714667145162821,5,28,34,0
2026-05-15T00:40:15.290497,clean,naive,{'bins': 5},6,0,4,0.0014365967363119125,0.040031012147665024,0.04219570569694042,5,3,6,0
2026-05-15T00:40:15.333998,clean,naive,{'bins': 5},6,1,4,0.001409195363521576,0.0393695505335927,0.0415409067645669,5,3,6,0
