method,params,alphabet_defined,alphabet_used,usage_rate,run_length_median,run_length_mean,run_length_max,n_distinct_transitions,transition_entropy
naive,bins=5,5,5,1.00,2.0,9.2,288
sax,"w=24, bins=5",5,5,1.00,4.0,5.4,24
persist,bins=6,6,6,1.00,2.0,14.8,288
