#### Simulations (1)
# temp #1
0.0,0.0
0.0,2112.0
3317.0364035759126,2112.0
3317.0364035759126,2088.0
7487.268872419372,2088.0
7487.268872419372,2112.0
10845.00808173325,2112.0
10845.00808173325,2088.0
17130.570150981657,2088.0
17130.570150981657,2112.0
21538.60285060946,2112.0
21538.60285060946,2088.0
37706.84818646405,2088.0
37706.84818646405,2112.0
41811.89806445036,2112.0
41811.89806445036,2088.0
54016.949290945195,2088.0
54016.949290945195,2112.0
60064.25335791428,2112.0
60064.25335791428,2088.0
76319.07665489707,2088.0
76319.07665489707,2112.0
80336.67677119374,2112.0
80336.67677119374,2088.0
90147.57645546924,2088.0
90147.57645546924,2112.0
95723.56459584553,2112.0
95723.56459584553,2088.0
105135.53654104471,2088.0
105135.53654104471,2112.0
108323.42928070575,2112.0
108323.42928070575,2088.0
125526.71493762173,2088.0
125526.71493762173,2112.0
130700.3808517009,2112.0
130700.3808517009,2088.0
143595.87176868226,2088.0
143595.87176868226,2112.0
145308.23194957338,2112.0
145308.23194957338,2088.0
157233.4485972533,2088.0
157233.4485972533,2112.0
161788.02465575282,2112.0
161788.02465575282,2088.0
200000.0,2088.0
