Condition,Method,F1 median,F1 range,Best variant,Worst variant,N ok / total
clean,naive,0.868,0.868-0.868,naive_bins=10,naive_bins=10,1/1
clean,persist,0.548,0.548-0.548,persist_bins=11,persist_bins=11,1/1
clean,sax,0.983,0.939-0.983,sax_w=24_bins=10,sax_w=144_bins=10,3/3
noisy,naive,0.838,0.838-0.838,naive_bins=10,naive_bins=10,1/1
noisy,persist,0.545,0.545-0.545,persist_bins=11,persist_bins=11,1/1
noisy,sax,0.500,0.387-0.515,sax_w=48_bins=10,sax_w=144_bins=10,3/3
