method,f1_at_clean,f1_at_noisy,drops_below_at,last_above
naive,0.868,n/a,0.020,0.050
sax144,0.939,n/a,0.020,0.050
sax48,0.992,n/a,stays above threshold,0.050
sax24,0.983,n/a,stays above threshold,0.050
persist,0.667,n/a,0.020,n/a
