Variant,Spikes,Shifted,Stuck,Offset
naive_bins=10,100.0%,100.0%,100.0%,100.0%
sax_w=24_bins=10,100.0%,100.0%,100.0%,100.0%
sax_w=48_bins=10,100.0%,100.0%,100.0%,100.0%
sax_w=144_bins=10,93.3%,100.0%,100.0%,100.0%
persist_bins=11,93.3%,100.0%,100.0%,100.0%
