Condition,Method,F1 median,F1 range,Best variant,Worst variant
clean,naive,0.899,0.868-0.931,naive_bins=5,naive_bins=10
clean,persist,0.652,0.548-0.757,persist_bins=6,persist_bins=11
clean,sax,0.971,0.939-0.984,sax_w=24_bins=5,sax_w=144_bins=10
noisy,naive,0.869,0.838-0.899,naive_bins=5,naive_bins=10
noisy,persist,0.627,0.545-0.708,persist_bins=6,persist_bins=11
noisy,sax,0.564,0.387-0.778,sax_w=144_bins=5,sax_w=144_bins=10
