method,params,status,precision,recall,f1,TP,FP,FN,TN,n_states,n_edges,error
naive,bins=15,ok,0.625,0.349,0.448,30,18,56,66,101,226,
sax,"w=48, bins=15",ok,0.423,0.349,0.382,30,41,56,43,137,269,
persist,bins=16,ok,0.704,0.581,0.637,50,21,36,63,94,193,
