Condition,Method,F1 median,F1 range,Best variant,Worst variant,N ok / total
clean,naive,0.975,0.975-0.975,naive_bins=5,naive_bins=5,1/1
clean,persist,0.877,0.877-0.877,persist_bins=6,persist_bins=6,1/1
clean,sax,0.959,0.958-0.984,sax_w=24_bins=5,sax_w=48_bins=5,3/3
noisy,naive,0.957,0.957-0.957,naive_bins=5,naive_bins=5,1/1
noisy,persist,0.708,0.708-0.708,persist_bins=6,persist_bins=6,1/1
noisy,sax,0.694,0.635-0.718,sax_w=144_bins=5,sax_w=48_bins=5,3/3
