Condition,Method,Precision,Recall,F1,States,Edges
clean,naive,1.000,0.783,0.879,33,54
clean,sax,1.000,0.833,0.909,22,40
clean,persist,0.956,0.717,0.819,25,49
noisy,naive,0.981,0.883,0.930,12,30
noisy,sax,0.754,0.767,0.760,23,69
noisy,persist,0.573,0.717,0.637,40,94
