Condition,Method,Params,Precision,Recall,F1,States,Edges
clean,naive,bins=5,0.967,0.983,0.975,7,10
clean,sax,"w=24, bins=5",0.968,1.000,0.984,10,10
clean,persist,bins=6,0.926,0.833,0.877,6,13
noisy,naive,bins=5,1.000,0.917,0.957,9,17
noisy,sax,"w=24, bins=5",0.595,0.833,0.694,20,28
noisy,persist,bins=6,0.564,0.950,0.708,27,53
