method,params,status,precision,recall,f1,TP,FP,FN,TN,n_states,n_edges,error
naive,bins=5,ok,0.831,0.628,0.715,54,11,32,49,45,69,
sax,"w=48, bins=5",ok,0.491,0.314,0.383,27,28,59,32,160,224,
persist,bins=6,ok,0.647,0.895,0.751,77,42,9,18,29,38,
