method,f1_at_clean,f1_at_noisy,drops_below_at,last_above
naive,0.868,n/a,0.020,0.050
sax144,0.929,n/a,0.020,0.100
sax48,0.938,n/a,stays above threshold,0.150
sax24,0.957,n/a,stays above threshold,0.150
persist,0.788,n/a,0.020,0.050
