dataset,real_mean,real_std,sim_mean,ci_low,ci_high,ks_stat,ks_pvalue,coverage
train-30t-sax-s5-w48,23.449785704264873,2.2330281588843137,21.5853957730812,20.369999999999997,23.206,0.49810809085790547,0.0,40.0
test-30t-sax-s5-w48,23.64128714470284,2.062419779250212,21.5853957730812,20.369999999999997,23.206,0.5806269976258432,0.0,60.0
