id;time_seconds;temperature
567;83700;57.30406
568;84000;57.45694
569;84300;57.54226
570;84600;57.81245
571;84900;57.97225
572;85200;58.15445
573;85500;58.24915
574;85800;58.51770
575;86100;58.67483
576;86400;58.35751
577;86700;57.98737
578;87000;57.61394
579;87300;57.39288
580;87600;57.51390
581;87900;57.79070
582;88200;57.99844
583;88500;58.15181
584;88800;58.23657
585;89100;58.30868
586;89400;58.44226
587;89700;58.68348
588;90000;58.80973
589;90300;58.95104
590;90600;58.99024
591;90900;58.87803
592;91200;58.76925
593;91500;58.62267
594;91800;58.56457
595;92100;58.49913
596;92400;58.47402
597;92700;58.44768
598;93000;58.45737
599;93300;58.64354
600;93600;58.77726
601;93900;58.92270
602;94200;58.99587
603;94500;59.05606
604;94800;59.08845
605;95100;59.11165
606;95400;59.12592
607;95700;59.13464
608;96000;59.14083
609;96300;59.14417
610;96600;59.14692
611;96900;59.14818
612;97200;59.14941
613;97500;59.14989
614;97800;59.15042
615;98100;59.17866
616;98400;59.37311
617;98700;59.50048
618;99000;59.66847
619;99300;59.73370
620;99600;59.80718
621;99900;59.85755
622;100200;60.09108
623;100500;60.23677
624;100800;61.39271
625;101100;61.45979
626;101400;61.52140
627;101700;61.55204
628;102000;61.57639
629;102300;61.58881
630;102600;61.59741
631;102900;61.60291
632;103200;61.60620
633;103500;61.60864
634;103800;61.60989
635;104100;61.61094
636;104400;61.61141
637;104700;61.61187
638;105000;61.61203
639;105300;61.61225
640;105600;61.61228
641;105900;61.61228
642;106200;61.61228
643;106500;61.61228
644;106800;61.61228
645;107100;61.61228
646;107400;61.61228
647;107700;61.61228
648;108000;61.61228
649;108300;61.61228
650;108600;61.61228
651;108900;61.61228
652;109200;61.61228
653;109500;61.61228
654;109800;61.61228
655;110100;61.61228
656;110400;61.61228
657;110700;61.61228
658;111000;61.61228
659;111300;61.61228
660;111600;61.61228
661;111900;61.61228
662;112200;61.61228
663;112500;61.61228
664;112800;61.61228
665;113100;61.61228
666;113400;61.61228
667;113700;61.61228
668;114000;61.61228
669;114300;61.63729
670;114600;61.81813
671;114900;61.90528
672;115200;61.86473
673;115500;61.81015
674;115800;61.73345
675;116100;61.69880
676;116400;61.66400
677;116700;61.64790
678;117000;61.63442
679;117300;61.62711
680;117600;61.62201
681;117900;61.61853
682;118200;61.61659
683;118500;61.61499
684;118800;61.61427
685;119100;61.61354
686;119400;61.61325
687;119700;61.60935
688;120000;61.54264
689;120300;61.35117
690;120600;61.25979
691;120900;61.14025
692;121200;61.09723
693;121500;61.04562
694;121800;61.02481
695;122100;60.89919
696;122400;60.77607
697;122700;60.62629
698;123000;60.54230
699;123300;60.47919
700;123600;60.42974
701;123900;60.29032
702;124200;60.11621
703;124500;60.00880
704;124800;59.79128
705;125100;59.64292
706;125400;59.44799
707;125700;59.36589
708;126000;59.15032
709;126300;59.01949
710;126600;58.83323
711;126900;58.73432
712;127200;58.48433
713;127500;58.35531
714;127800;58.16880
715;128100;57.99237
716;128400;57.78879
717;128700;57.65182
718;129000;57.52788
719;129300;57.34291
720;129600;57.17440
721;129900;57.01648
722;130200;56.93489
723;130500;56.85503
724;130800;56.82199
725;131100;56.77637
726;131400;56.67009
727;131700;56.47806
728;132000;56.39632
729;132300;56.28222
730;132600;56.22262
731;132900;56.01439
732;133200;55.90486
733;133500;55.75455
734;133800;55.68712
735;134100;55.48585
736;134400;55.34737
737;134700;55.19628
738;135000;55.11028
739;135300;55.04283
740;135600;54.99959
741;135900;54.96210
742;136200;54.84928
743;136500;54.71865
744;136800;54.57172
745;137100;54.50349
746;137400;54.42715
747;137700;54.39903
748;138000;54.36268
749;138300;54.35034
750;138600;54.26557
751;138900;54.17027
752;139200;54.00302
753;139500;53.93163
754;139800;53.84505
755;140100;53.80743
756;140400;53.77094
757;140700;53.75147
758;141000;53.73625
759;141300;53.72664
760;141600;53.72035
761;141900;53.71599
762;142200;53.71351
763;142500;53.71148
764;142800;53.71054
765;143100;53.70961
766;143400;53.70925
767;143700;53.70883
768;144000;53.70868
769;144300;53.70849
770;144600;53.70842
771;144900;53.70834
772;145200;53.70832
773;145500;53.70827
774;145800;53.70827
775;146100;53.70827
776;146400;53.70827
777;146700;53.71197
778;147000;53.75630
779;147300;53.89475
780;147600;54.02148
781;147900;54.10690
782;148200;54.18865
783;148500;54.22617
784;148800;54.25952
785;149100;54.27371
786;149400;54.28887
787;149700;54.29476
788;150000;54.30155
789;150300;54.33720
790;150600;54.50528
791;150900;54.59302
792;151200;54.71850
793;151500;54.76527
794;151800;54.83798
795;152100;54.92128
796;152400;55.11042
797;152700;55.21846
798;153000;55.32256
799;153300;55.38421
800;153600;55.42848
801;153900;55.46866
802;154200;55.59827
803;154500;55.76495
804;154800;55.86093
805;155100;55.96108
806;155400;56.04384
807;155700;56.24952
808;156000;56.36881
809;156300;56.51501
810;156600;56.57113
811;156900;56.63913
812;157200;56.68797
