Config,E1,E2,E3,E4,E5,E6,E7,A[]1,A1,A2,A3,A4,A5,A6,A7,P1,P2,P3,P4,P5,P6,P7
A-1trace-1beat-naiv-s5-k4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.935372,>=0.999631,>=0.999631,>=0.999631,>=0.999631,>=0.999631,>=0.999631
A-1trace-1beat-naiv-s10-k4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.934872,>=0.999631,>=0.999631,>=0.999631,>=0.999631,>=0.999631,>=0.999631
A-1trace-1beat-naiv-s15-k4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,>=0.999631,>=0.999631,>=0.999631,>=0.999631,0.787416,0.913179,>=0.999631
A-25trace-1beat-naiv-s5-k4,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.945669,0.96816,0.758425,>= 0.999631,0.316154,0.918577,0.959465
A-25trace-1beat-naiv-s10-k4,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.806311,0.77582,>=0999631,0.483405,0.919577,0.815608
A-25trace-1beat-naiv-s15-k4,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.925375,0.907181,>=0.999631,0.804411,0.951767,0.913879
A-50trace-1beat-naiv-s5-k4,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.759724,0.80661,0.921676,>=0.999631,0.175995,0.96991,0.770521
A-50trace-1beat-naiv-s10-k4,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.790015,0.659454,>=0.999631,0.313954,0.961964,0.754926
A-50trace-1beat-naiv-s15-k4,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.761224,0.737531,>= 0.999631,0.594672,0.963663,0.751327
