Config,E1,E2,E3,E4,E5,E6,E7,A[]1,A1,A2,A3,A4,A5,A6,A7,P1,P2,P3,P4,P5,P6,P7
A-1trace-1beat-persist-s5-skipmin4-skipmax4-k4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.97161,>=0.999631,>= 0.999631,>=0.999631,>=0.999631,>=0.999631,<=0.00036882
A-1trace-1beat-persist-s10-skipmin4-skipmax4-k4,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0.946869,>=0.999631,>=0.999631,>=0.999631,>=0.999631,>=0.999631,>=0.999631
A-1trace-1beat-persist-s15-skipmin4-skipmax4-k4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.950268,>=0.999631,>=0.999631,>=0.999631,>=0.999631,>=0.999631,>=0.999631
A-25trace-1beat-persist-s5-skipmin4-skipmax4-k4,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0.991852,>=0.999631,0.989354,>=0.999631,0.451914,0.578477,0.950168
A-25trace-1beat-persist-s10-skipmin4-skipmax4-k4,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.804211,0.761124,>=0.999631,0.584075,0.961764,0.646757
A-25trace-1beat-persist-s15-skipmin4-skipmax4-k4,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.746828,0.707539,>=0.999631,0.555584,0.946469,0.732532
A-50trace-1beat-persist-s5-skipmin4-skipmax4-k4,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0.988254,>=0.999631,0.984756,>=0.999631,0.520394,0.641759,0.935172
A-50trace-1beat-persist-s10-skipmin4-skipmax4-k4,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.871491,0.785117,>=0.999631,0.53529,0.966662,0.713239
A-50trace-1beat-persist-s15-skipmin4-skipmax4-k4,,1,1,1,1,1,1,1,,0,0,1,0,0,0,,0.905281,0.791515,>=0.999631,0.541288,0.95865,0.879589
